"Company","Industry","Country","Sales","Profits","Assets","Market Value","CDP Score 2019"
"Fujitsu","Technology Hardware & Equipment","Japan",36100,1500,27300,14600,"A"
"Murata Manufacturing","Technology Hardware & Equipment","Japan",14100,1800,18700,33900,"B"
"Corning","Technology Hardware & Equipment","United States",11300,1100,27500,27400,"C"
"Western Digital","Technology Hardware & Equipment","United States",19400,841,27900,16100,"C"
"BOE Technology Group","Technology Hardware & Equipment","China",14500,535,44300,20300,"C"
"Nokia","Technology Hardware & Equipment","Finland",26600,-402,46600,32300,"A-"
"Kyocera","Technology Hardware & Equipment","Japan",14900,642,27500,22100,"A-"
"Legend Holding","Technology Hardware & Equipment","China",54100,668,81300,6500,"F"
"Lenovo Group","Technology Hardware & Equipment","Hong Kong",50000,511,31300,11200,"A-"
"Ericsson","Technology Hardware & Equipment","Sweden",24100,-368,30300,33400,"C"
"Fortive","Technology Hardware & Equipment","United States",7200,2900,12900,29700,"not scored (not possible to access)"
"Keyence","Technology Hardware & Equipment","Japan",5300,2100,14700,78700,"F"
"Hikvision","Technology Hardware & Equipment","China",7300,1600,8000,47800,"F"
"Amphenol","Technology Hardware & Equipment","United States",8200,1200,10000,31200,"C"
"Seagate Technology","Technology Hardware & Equipment","Ireland",11300,1700,8800,14100,"A-"
"TDK","Technology Hardware & Equipment","Japan",12500,676,18400,11100,"A-"
"TCL","Technology Hardware & Equipment","China",17000,524,28100,7700,"C (not possible to access)"
"Quanta Computer","Technology Hardware & Equipment","Taiwan",34100,501,21500,7600,"not scored (but accessible)"
"Samsung SDI","Technology Hardware & Equipment","South Korea",8300,637,17300,13400,"A-"
"ZTE","Technology Hardware & Equipment","China",12800,-1100,18800,20000,"F"
"NEC","Technology Hardware & Equipment","Japan",26300,325,25200,8700,"A"
"NetApp","Technology Hardware & Equipment","United States",6200,1000,8400,19200,"B-"
"Hoya","Technology Hardware & Equipment","Japan",5100,1000,6600,25200,"D"
"Pegatron","Technology Hardware & Equipment","Taiwan",44400,369,19000,5200,"C"
"Delta Electronics","Technology Hardware & Equipment","Taiwan",7900,603,8500,13600,"A-"
"LARGAN Precision","Technology Hardware & Equipment","Taiwan",1700,808,4300,20100,"F"
"Garmin","Technology Hardware & Equipment","Switzerland",3300,694,5400,16400,"F"
"OMRON","Technology Hardware & Equipment","Japan",7900,500,6700,11000,"A-"
"Flex","Technology Hardware & Equipment","Singapore",26500,138,14000,5800,"A-"
"Compal Electronics","Technology Hardware & Equipment","Taiwan",32100,296,13000,2800,"B-"
"Jabil Circuit","Technology Hardware & Equipment","United States",23800,176,12500,4800,"D"
"Wistron","Technology Hardware & Equipment","Taiwan",29500,163,11000,2300,"C"
"Olympus","Technology Hardware & Equipment","Japan",7200,141,8400,14200,"A-"
"Luxshare Precision Industry","Technology Hardware & Equipment","China",5400,411,5300,16000,"F"
"Arista Networks","Technology Hardware & Equipment","United States",2200,328,3100,24500,"C"
"Inventec","Technology Hardware & Equipment","Taiwan",16800,216,6700,2900,"F"
"Palo Alto Networks","Technology Hardware & Equipment","United States",2600,-90,5700,22500,"F"
"Unisplendour","Technology Hardware & Equipment","China",7300,257,7100,9600,"F"
"Zebra Technologies","Technology Hardware & Equipment","United States",4200,421,4300,12600,"Not requested"
"Keysight Technologies","Technology Hardware & Equipment","United States",4000,185,6000,16900,"C"
"Sunny Optical Technology Group","Technology Hardware & Equipment","China",3900,376,3300,13900,"F"
"Asustek Computer","Technology Hardware & Equipment","Taiwan",11700,140,11100,5700,"C (excluded due to unrealistic data)"
"Intel","Semiconductors","United States",70800,21100,128000,263100,"B"
"Taiwan Semiconductor","Semiconductors","Taiwan",34200,11600,68000,222400,"B"
"Broadcom","Semiconductors","United States",21300,6500,72100,126100,"F"
"SK Hynix","Semiconductors","South Korea",36800,14100,57100,47600,"A-"
"Micron Technology","Semiconductors","United States",30000,13100,47500,48000,"C"
"Qualcomm","Semiconductors","United States",21500,2200,34200,96700,"B"
"ASML Holding","Semiconductors","Netherlands",12900,3000,24800,85600,"C"
"Texas Instruments","Semiconductors","United States",15800,5500,17100,108400,"B-"
"Applied Materials","Semiconductors","United States",16800,3900,18900,41700,"D"
"NVIDIA","Semiconductors","United States",11700,4100,13300,113400,"A-"
"NXP Semiconductors","Semiconductors","Netherlands",9400,2200,21500,33100,"D"
"Analog Devices","Semiconductors","United States",6200,1600,21800,42300,"B"
"Lam Research","Semiconductors","United States",10900,2900,10800,29700,"B"
"Tokyo Electron","Semiconductors","Japan",11900,2300,10700,26000,"B"
"Infineon Technologies","Semiconductors","Germany",9200,1300,12700,27300,"B"
"ASE Technology Holding","Semiconductors","Taiwan",12300,838,17400,10200,"A"
"STMicroelectronics","Semiconductors","Switzerland",9700,1300,10900,16800,"B"
"MediaTek","Semiconductors","Taiwan",7900,688,13100,15000,"F"
"Xilinx","Semiconductors","United States",2900,811,5400,34200,"C"
"Skyworks Solutions","Semiconductors","United States",3800,1100,4700,15600,"F"
"Microchip Technology","Semiconductors","United States",5000,328,18200,23400,"C"
"Maxim Integrated Products","Semiconductors","United States",2500,717,3900,16300,"C"
"Advanced Micro Devices","Semiconductors","United States",6500,337,4600,29900,"B"
"Renesas Electronics","Semiconductors","Japan",6900,494,8800,9200,"F"
"Longi Green Energy Technology","Semiconductors","China",3100,461,5600,12500,"F"
"Marvell Technology Group","Semiconductors","Bermuda",2900,-179,10000,16400,"C"
